pull_req_id,github_id,useful,requester,created_at,num_commits_open,lines_modified_open,files_modified_open,commits_on_files_touched,branch_hotness,branch_commits,branch
38726818,26439,useless,namiltd,1525218265,1,6,1,8.312842463991771,89.79739338991774,172,v4-dev
38659612,26433,useful,brandon-d-logan,1525112281,1,16,1,0.7656046810699588,91.16225411522636,175,v4-dev
38652605,26430,useless,andrewpucci,1525097735,1,11,1,0,91.4908016975309,176,v4-dev
38629046,26422,useful,Johann-S,1525066800,2,81,6,14.745994212962959,91.1887154063786,177,v4-dev
38613865,26418,useful,Johann-S,1525045913,2,58,2,4.483844264403292,91.6641525205761,177,v4-dev
38606652,26417,useful,mdo,1525033873,1,256,64,172.60175848765422,91.93821116255144,177,v4-dev
38598371,26416,useful,mdo,1525013395,1,3,2,9.472151234567901,90.39334413580252,175,v4-dev
38559588,26411,useless,dankreiger,1524898689,1,16,1,0.7930727880658436,90.94504616769548,174,v4-dev
38504493,26400,useful,XhmikosR,1524781666,1,18,2,15.478917824074077,93.56361638374486,174,v4-dev
38461401,26391,useful,patrickhlauke,1524715137,1,8,1,0.8166777263374485,92.02189660493833,171,v4-dev
38459354,26390,useful,ConstantinRoss,1524712427,1,2,1,2.959860596707819,92.08149151234561,171,v4-dev
38438349,26385,useful,ysds,1524676084,6,47,2,10.38309915123457,92.88070100308643,171,v4-dev
38314459,26370,useless,jrchamp,1524488984,1,2,1,1.9607325102880657,90.95145267489708,165,v4-dev
38273661,26361,useful,ysds,1524438856,1,12,1,0.22218222736625515,92.02156545781894,167,v4-dev
38231651,26357,useless,lmuzquiz,1524328140,1,1,1,0.8664458590534979,93.43004835390948,177,v4-dev
38168905,26352,useful,XhmikosR,1524188967,1,6,2,1.7988505658436216,96.64454230967081,182,v4-dev
38161241,26349,useless,coliff,1524177257,1,6,1,0,96.91861895576133,182,v4-dev
38111006,26345,useless,chiraggmodi,1524104010,1,6,1,0.8952691615226338,97.6560450102881,185,v4-dev
38103812,26343,useless,jakubhonisek,1524095727,1,4,1,2.710959490740741,97.85310712448556,185,v4-dev
38102674,26342,useful,Johann-S,1524094311,1,13,1,0.5947305812757202,97.88679539609055,185,v4-dev
38099665,26341,useless,Johann-S,1524090639,2,14,2,3.702096836419753,97.97415650720164,185,v4-dev
38027714,26331,useless,heyichang,1523984032,1,3,1,3.381140046296296,100.57887384259261,197,v4-dev
38019600,26329,useful,travisdahl,1523969857,1,2,1,0.9125213477366255,100.93798842592587,197,v4-dev
38014899,26328,useless,MartijnCuppens,1523964287,1,4,2,9.63741049382716,101.07910082304525,197,v4-dev
37985258,26322,useful,XhmikosR,1523927931,1,219,2,16.592576388888887,98.98227713477365,195,v4-dev
37932292,26317,useless,Oviglo,1523854688,1,2,1,5.502790123456791,100.82669302983541,201,v4-dev
37931856,26316,useful,daviddesloovere,1523854371,1,10,1,0.9273729423868313,100.83488708847736,201,v4-dev
37928991,26313,useful,Varunram,1523851874,1,1,1,1.5258180298353907,100.89943145576133,201,v4-dev
37913186,26309,useful,XhmikosR,1523829587,1,369,2,14.947982510288064,100.47291409465022,202,v4-dev
37889922,26305,useless,Kwpolska,1523778203,1,76,2,0,3.488640303497942,6,gh-pages
37873610,26302,useless,agriffis,1523724589,1,17,1,0.646724279835391,98.17193904320986,207,v4-dev
37848801,26297,useful,Varunram,1523652787,1,8,3,11.397080375514406,99.08882021604938,210,v4-dev
37812413,26292,useful,Varunram,1523588991,1,6,1,0.9615010288065844,99.81389853395065,213,v4-dev
37811144,26291,useful,Johann-S,1523587037,1,50,5,13.689410622427983,99.86742245370377,213,v4-dev
